S. No.,Category Name,,Description(Minimum 80 words),location,CONTACT,Reviews,Rating,Images
,,,,,,"3. NIET  is best college in greater Noida because of it best placement, best education faculty member in compare to the other colleges .
Electrical and electronic engineering branch is practical based ,so all the laboratories are well setups along with experts 
Advance teaching is done by using projector in all class rooms . It infrastructure is awessome and properly space are given for all the particulars. niet is concerned about mental as well as physical growth of the students by promoting diffirent technical and sports activities",1,
,,,,,,4. Seriously one of the good colleges among up for the engineering.I am saying that because i am currently the student of 3rd yr from this college in I.T. Branch and really where work is worship.... It had good infrastructure and they completely focus on the studies and the placmeents of the students.,3,
,,,,,,,,
49,Babu Banarsi Das Institute of Technology (BBDIT),http://www.bbdit.edu.in/about.aspx,"BABU BANARSI DAS INSTITUTE OF TECHNOLOGY one of the fast-developing Institutes in the field of Engineering and Management, was established in the year 2000, under the aegis of RAJIV EDUCATIONAL TRUST with a vision and avowed objective to provide contemporary and quality education in the areas of Engineering & Management.
The Institute is now emerging as one of the leading and sought after Institutes in the North Indian region. The Institute is affiliated to 'Dr. A.P.J. Abdual Kalam Technical University (AKTU)', Lucknow and is recognized by the A.I.C.T.E., New Delhi, and the Government of UP State and professionally associated to IETE (Institution of Electronics and Telecommunication Engineers, India), IEI (Institution of Engineers, India) & CSI (Computer Society of India). The institute has also entered into a collaborative programme for Masters programmes in Engineering branches and Business Administration (MBA) with Gannon University, Pennsylvania, USA, to offer International Quality Education.","7th Km. From Ghaziabad, NH-58, Delhi Meerut Road, Near Duhai, Ghaziabad, Uttar Pradesh 201206",0120 267 5914,"1. Fare from Anand Vihar to BBDIT is 30rs.
BBDIT has collaborated with TCS's ION Digital Services to conduct exams for banks and insurance companies.On 25th Sept,2016 Bank of Baroda PGDFM was conducted here.",3,
,,,,,,"2. life is waste in this college bad college no company comes  for  Recruiting.
Atmosphere is  Like A village. Faculties Don't Have Sufficient Knowledge .  
They Charge you hell lot of money which keeps increasing every semester by High Court's Order(Issued specially for this College).
Go for this college if you have extra money and want to through it for nothing. They even try to steal your security money. And Forget about the scholarships, they will eat it all without letting you know. 
I have wasted 4 years of my life in this college... Hope you won't be next to be exploited.",1,
,,,,,,"3. guys if u want to study and want to learn and enjoy the life of engineering,this is the best  college.here u can get teachers that posses high grip on their subjects.i also take admission bt now im so proud to be in this clg",4,
,,,,,,"4. Good College.
Its you who must put hardwork for a good Career. Faculties and Facilities are just for helping you in achieving success.
One of the good Engg. Colleges in Delhi NCR.",4,
,,,,,,,,
50,University College of Medical Sciences – Delhi (UCMS Delhi),http://www.ucms.ac.in/aboutus.htm,"Established in 1971 as a Constituent College of University of Delhi.
         
*        
Runs various medical and paramedical courses
         
*        
Annual admission MBBS: 150, MD/MS: 71; besides PhD courses in Medical Faculty
         
*        
Paramedical courses: BSc(Medical Technology), Radiography. Diploma course in Nursing (GTB Hospital), and Medical Laboratory In-service Training.
         
*        
Guru Teg Bahadur Hospital is the associated teaching hospital with more than 1000 beds.
         
*        
Known for its quality research; National ranking 7th based on the number of publications in PubMed indexed journals.
         
*        
Meritorious/Eminent Faculty on expert groups of UNICEF, WHO, UNAIDS, World Bank, ICMR, ICMR, NACO, DST and CSIR.
         
*        
Cater to the health care needs for the East Delhi community and surrounding border areas.
         
*        
College with excellent results: Students excel in curricular/extracurricular activities.","Principal Dr VP Gupta,, Dilshad Garden, Delhi, 110095",011 2258 2106,1. One of the best medical college in north India with the best teaching staff and high quality doctors.,4,
,,,,,,2. UCMS-One the top 5 medical colleges of India. Ranked as 3rd best medical college in India according to INDIA TODAY-NEILSEN survey-2011.,4,
,,,,,,"3. Its the dream of max of the medical student and nor or less of non medicos too.. india's third best medical college. doctors being the noblest person many peoples wants to be a good doctor. one can be a doctor from any of the medical college but for being a good doctor i m proud to say that my college ""u.c.m.s"" is the best. besides academics its also awesome in other factors like annual festsports week etc. P.s i am what anyone want to be.. a d.u medicos.",3,
,,,,,,"4. If u are not a studious person, don't join this college. No extracurricular activities, no proper games, nothing And if u think u are studious like I thought while joining cllg, then also don't join, ull be taught in a worst way in 1st and 2nd year The confusion most of u will be having in choosing this or vmms I'll prefer vmms if I have to choose again",2,
